,venue,striker,bowler,bowling_team
0,Narendra Modi Stadium,KL Rahul,CV Varun,"0    Kolkata Knight Riders
Name: bowling_team, dtype: object"
1,Narendra Modi Stadium,MA Agarwal,PJ Cummins,"0    Kolkata Knight Riders
Name: bowling_team, dtype: object"
2,Narendra Modi Stadium,CH Gayle,M Prasidh Krishna,"0    Kolkata Knight Riders
Name: bowling_team, dtype: object"
