,bowler,batting_team
0,CV Varun,"0    Punjab Kings
Name: batting_team, dtype: object"
1,P Cummins,"0    Punjab Kings
Name: batting_team, dtype: object"
2,M Prasidh Krishna,"0    Punjab Kings
Name: batting_team, dtype: object"
