,match_id,venue,striker,bowler,runs_off_bat,ball
33107,1136599,Rajiv Gandhi International Stadium,MM Ali,Rashid Khan,5,2
33682,1136611,M.Chinnaswamy Stadium,MM Ali,Rashid Khan,17,11
